Elimination type;Data type;Matrix size;Error;Time;1st Phase;2nd Phase
No Pivot;Float;50;0.014410954900085926;0.0032966840000000002;0.0017937880000000002;0.001502896
Partial Pivot;Float;50;2.0420204964466393E-4;0.0018110770000000001;9.96588E-4;8.144890000000001E-4
Full Pivot;Float;50;1.5846594760660082E-4;0.0040204590000000005;0.0033417250000000003;6.787340000000001E-4
No Pivot;Double;50;9.018407723346315E-11;0.003082413;0.001699245;0.0013831680000000002
Partial Pivot;Double;50;4.163517961942033E-13;0.002432257;0.001173515;0.001258742
Full Pivot;Double;50;6.455252632636351E-13;0.005165673;0.003575379;0.0015902940000000001
No Pivot;Big Integer;50;0.0;6.020637704;5.301643033;0.718994671
Partial Pivot;Big Integer;50;0.0;6.604097752;5.8369481080000005;0.7671496440000001
Full Pivot;Big Integer;50;0.0;9.044675755;8.272366872000001;0.772308883
